datetime,close,macd_1d,macd_signal_1d,rsi_1d,stoch_1d,stoch_signal_1d,atr_1d,macd_2d,macd_signal_2d,rsi_2d,stoch_2d,stoch_signal_2d,atr_2d,macd_3d,macd_signal_3d,rsi_3d,stoch_3d,stoch_signal_3d,atr_3d,macd_1d_final,macd_2d_final,macd_3d_final,stoch_1d_final,stoch_2d_final,stoch_3d_final,target
2012-04-27,2737.0,-2.18,-3.86,57.28,95.55,79.59,36.63,26.5,41.09,57.47,67.72,37.9,33.25,60.26,78.56,59.27,67.72,50.46,31.35,1.0,0.1,0.1,0.7,0.7,0.7,0
2012-04-29,2739.25,1.07,-2.87,57.69,96.44,89.63,34.48,27.02,39.61,57.69,69.07,47.35,32.29,59.96,77.23,59.42,69.07,51.57,30.76,0.7,0.1,0.1,0.7,0.7,0.7,0
2012-04-30,2720.0,2.06,-1.89,53.09,80.29,90.76,34.03,26.59,38.24,55.16,57.51,54.18,32.15,59.06,75.93,57.49,57.51,52.09,30.7,0.7,0.1,0.1,0.1,0.7,0.7,0
2012-05-01,2720.0,2.82,-0.95,53.09,74.66,83.8,34.64,26.13,36.96,55.16,57.51,59.08,32.52,58.14,74.66,57.49,57.51,53.35,30.98,0.7,0.1,0.1,0.1,0.1,0.7,0
2012-05-02,2728.25,4.04,0.05,54.88,81.09,78.68,34.27,25.99,35.81,56.05,62.46,61.46,32.41,57.45,73.43,58.11,62.46,55.36,30.95,0.7,0.1,0.1,0.7,0.7,0.7,0
2012-05-03,2694.75,2.28,0.5,47.05,54.97,70.24,35.02,24.38,34.61,51.74,42.34,59.43,32.85,55.77,72.17,54.83,42.34,56.08,31.28,0.7,0.1,0.1,0.1,0.4,0.4,0
2012-05-04,2627.75,-4.47,-0.5,35.99,2.73,46.26,37.7,20.04,33.07,44.62,2.1,48.5,34.27,52.22,70.75,49.14,2.1,51.89,32.26,0.4,0.1,0.1,0.4,0.4,0.4,0
2012-05-06,2598.5,-12.04,-2.81,32.4,7.51,21.74,37.99,14.91,31.16,42.01,6.59,38.08,34.53,48.04,69.12,46.96,6.11,46.59,32.48,0.4,0.1,0.1,0.4,0.4,0.4,0
2012-05-07,2639.5,-14.57,-5.16,41.23,32.13,14.12,39.17,12.05,29.15,46.56,30.62,33.6,35.25,45.3,67.42,50.14,26.13,43.44,33.01,0.4,0.1,0.1,1.0,0.4,0.4,0
2012-05-08,2622.5,-17.74,-7.67,38.96,23.42,21.02,40.51,8.76,27.0,45.04,22.33,27.74,36.06,42.22,65.62,48.89,19.11,38.04,33.6,0.4,0.1,0.1,1.0,0.4,0.4,0
2012-05-09,2607.0,-21.25,-10.39,36.96,14.29,23.28,41.03,5.17,24.7,43.69,14.29,19.71,36.48,38.87,63.71,47.79,11.66,31.66,33.94,0.4,0.1,0.1,0.4,0.4,0.4,0
2012-05-10,2603.0,-24.09,-13.13,36.44,11.93,16.54,40.51,1.81,22.29,43.34,11.93,14.64,36.38,35.62,61.7,47.5,9.74,26.35,33.94,0.4,0.1,0.1,0.4,0.4,0.4,0
2012-05-11,2612.25,-25.29,-15.56,38.59,17.38,14.53,40.67,-0.78,19.87,44.4,17.38,17.19,36.61,32.84,59.64,48.23,14.18,21.54,34.15,0.4,0.4,0.1,1.0,1.0,0.4,0
2012-05-13,2601.75,-26.79,-17.81,37.06,11.19,13.5,39.05,-3.52,17.4,43.45,11.19,17.96,35.94,29.93,57.52,47.47,9.13,15.61,33.76,0.4,0.4,0.1,0.4,0.4,0.4,0
2012-05-14,2590.75,-28.53,-19.95,35.47,4.71,11.09,38.33,-6.39,14.9,42.45,4.71,13.64,35.69,26.89,55.33,46.67,3.85,11.33,33.65,0.4,0.4,0.1,0.4,0.4,0.4,0
